MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,max_tilt
0.15,6.5,0.01,0,49.9
0.6,9.3,0.01,12,179.4
0.08,0,0.08,6.5,32.4
0.01,6.5,0.08,6.5,179.2
0.01,0,0.15,12,45.8
0.6,3.3,0.01,12,179.2
0.01,12,0.15,0,178.8
0.38,12,0.01,6.5,179.4
0.01,12,0.01,9.3,179.7
0.15,3.3,0.08,0,44.8
0.6,0,0.08,6.5,33.5
0.38,0,0.15,12,48.4
0.38,0,0.15,3.3,30.6
0.15,0,0.15,12,61.1
0.15,9.3,0.01,0,169
0.08,0,0.08,3.3,47.3
0.38,12,0.01,0,163.9
0.01,6.5,0.33,0,179.7
0.01,3.3,0.01,9.3,179.2
0.38,12,0.01,12,179.5
0.08,0,0.15,6.5,45.4
0.08,12,0.33,0,63.4
0.01,3.3,0.33,6.5,179.9
0.6,3.3,0.5,0,32
0.08,0,0.01,3.3,179.4
0.6,9.3,0.01,3.3,179.2
0.15,0,0.5,9.3,47.2
0.15,3.3,0.33,0,44.5
0.6,3.3,0.01,0,43.4
0.01,6.5,0.33,3.3,179.6
0.01,9.3,0.01,9.3,178.8
0.6,6.5,0.01,3.3,179.9
0.6,12,0.5,0,46.5
0.15,6.5,0.33,0,48.9
0.15,9.3,0.5,0,44.4
0.6,9.3,0.15,0,43
0.15,12,0.15,0,54.2
0.15,6.5,0.5,0,45.9
0.15,0,0.08,0,48.5
0.01,12,0.08,6.5,178.3
0.15,9.3,0.15,0,51.7
0.01,3.3,0.15,3.3,179.2
0.38,0,0.15,9.3,47.9
0.01,6.5,0.08,3.3,179.9
0.08,9.3,0.15,0,62.9
0.01,0,0.33,3.3,38.3
0.15,3.3,0.01,12,179.8
0.01,3.3,0.08,9.3,179.2
0.6,0,0.33,12,41.4
0.15,9.3,0.01,3.3,179.4
0.01,3.3,0.15,12,178.9
0.6,9.3,0.5,12,24.6
0.15,6.5,0.08,0,48.7
0.01,6.5,0.5,9.3,179.4
0.08,12,0.01,9.3,179.9
0.08,9.3,0.01,12,179.3
0.6,3.3,0.01,9.3,179.9
0.6,0,0.5,12,37.2
0.01,3.3,0.33,12,179.4
0.15,12,0.01,9.3,179.4
0.6,12,0.5,12,21.9
0.6,12,0.15,0,34.4
0.08,6.5,0.01,3.3,178.7
0.01,12,0.15,12,179.9
0.38,0,0.5,9.3,45.2
0.38,0,0.5,12,48.8
0.15,6.5,0.01,3.3,179.5
0.01,9.3,0.01,0,179.9
0.38,0,0.33,12,24.2
0.6,0,0.01,9.3,180
0.15,3.3,0.5,0,44.4
0.08,3.3,0.01,3.3,179.7
0.01,9.3,0.5,0,179.6
0.38,12,0.08,0,44.7
0.15,0,0.33,3.3,30.9
0.38,0,0.33,3.3,47.1
0.01,12,0.33,9.3,180
0.01,12,0.08,0,179.8
0.15,0,0.08,9.3,47.7
0.38,9.3,0.01,12,179.9
0.15,0,0.01,0,47.7
0.08,12,0.5,0,56.3
0.01,6.5,0.01,12,179.1
0.15,0,0.15,3.3,46.2
0.01,0,0.01,9.3,179.6
0.6,6.5,0.01,0,165.8
0.01,0,0.5,0,47.4
0.01,9.3,0.5,6.5,179.7
0.38,0,0.15,6.5,23
0.08,6.5,0.5,0,52.9
0.01,12,0.5,6.5,179.6
0.01,9.3,0.15,0,179.7
0.15,0,0.01,3.3,178.7
0.6,9.3,0.5,6.5,20.2
0.38,3.3,0.15,0,43.8
0.08,0,0.33,0,47.8
0.38,9.3,0.01,6.5,178.7
0.15,12,0.01,0,54.1
0.01,6.5,0.01,9.3,179.6
0.08,9.3,0.01,6.5,178.9
0.01,6.5,0.15,3.3,179.2
0.15,0,0.01,6.5,179.8
0.01,0,0.08,0,47.6
0.38,6.5,0.08,0,44.4
0.01,12,0.01,6.5,178.9
0.6,0,0.08,3.3,48.1
0.6,6.5,0.5,3.3,17.7
0.6,6.5,0.5,0,45.3
0.38,6.5,0.01,9.3,179.7
0.01,9.3,0.5,9.3,178.9
0.6,12,0.01,6.5,179.5
0.6,9.3,0.01,9.3,179.7
0.01,0,0.08,9.3,42.6
0.01,3.3,0.01,0,179.8
0.15,12,0.33,0,53.9
0.08,9.3,0.01,0,63
0.38,6.5,0.01,0,44.4
0.01,12,0.33,12,179.6
0.01,6.5,0.5,6.5,179.7
0.38,12,0.01,3.3,179
0.38,6.5,0.33,0,44.5
0.6,12,0.01,3.3,179.8
0.08,0,0.08,9.3,47.9
0.38,9.3,0.15,0,44.5
0.01,9.3,0.33,0,179.8
0.08,3.3,0.5,0,47.2
0.01,0,0.08,12,50.2
0.01,0,0.5,3.3,33.9
0.08,3.3,0.33,0,49.5
0.38,0,0.08,9.3,26
