MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,MC_PITCHRATE_D,MC_PITCHRATE_I,MC_PITCHRATE_K,MC_ROLLRATE_D,MC_ROLLRATE_I,MC_ROLLRATE_K,MPC_THR_MAX,MC_PITCHRATE_MAX,MPC_THR_MIN,dist,max_alt_dif,avg_spd,max_speed,max_speed_horizontal,max_speed_up,max_speed_down,max_tilt_angle
0.15,6.5,0.15,6.5,0.003,0.1,1,0.003,0.2,1,1,220,0.12,90.2,11,4.3,28.1,27.8,9.7,4.7,49
0.15,6.5,0.15,6.5,0.003,0.6,1,0.003,0.2,1,1,220,0.12,88.3,10,4.3,28.1,27.7,9.5,4.7,52
0.15,6.5,0.15,6.5,0.003,12,1,0.003,0.2,1,1,220,0.12,96.3,12,4.1,28.1,27.8,7.5,6.9,50.7
0.15,6.5,0.15,6.5,0.003,0,1,0.003,0.2,1,1,220,0.12,89.5,11,4.4,28.1,27.8,9.5,4.7,47.9
0.15,6.5,0.15,6.5,0.003,0.2,5,0.003,0.2,1,1,220,0.12,88.1,10,4.1,28,27.7,5.4,4.7,47.9
0.15,6.5,0.15,6.5,0.003,0.2,0.01,0.003,0.2,1,1,220,0.12,88.8,10,4.3,28.1,27.8,9.7,4.7,49.3
0.15,6.5,0.15,6.5,0.003,0.2,3,0.003,0.2,1,1,220,0.12,90.2,11,4.2,28.1,27.8,6.7,4.7,47.8
0.15,6.5,0.15,6.5,0.003,0.2,0.505,0.003,0.2,1,1,220,0.12,92.1,11,4.2,28.1,27.8,9.8,7.9,49.2
0.15,6.5,0.15,6.5,0.003,0.2,1,0.0065,0.2,1,1,220,0.12,89.9,11,4.3,28.1,27.8,9.6,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.01,0.2,1,1,220,0.12,88.6,10,4.3,28.1,27.8,9.5,4.7,49.3
0.15,6.5,0.15,6.5,0.003,0.2,1,0.0015,0.2,1,1,220,0.12,88.8,10,4.3,28.1,27.8,9.6,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0,0.2,1,1,220,0.12,90.3,11,4.3,28.1,27.8,9.7,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.1,1,1,220,0.12,88.8,10,4.3,28.1,27.8,9.7,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.6,1,1,220,0.12,88.7,10,4.3,28.1,27.8,9.7,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,12,1,1,220,0.12,88.4,10,4.3,28.1,27.8,7.6,4.7,47.6
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0,1,1,220,0.12,88.8,10,4.4,28.1,27.8,9.4,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,5,1,220,0.12,90,11,3.9,28,27.7,4.2,4.7,47.9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,0.01,1,220,0.12,92.3,11,4.2,28.1,27.8,9.6,8,49.5
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,3,1,220,0.12,91.6,11,4,28.1,27.7,6.3,8.4,47.8
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,0.505,1,220,0.12,91.9,11,4.3,28.1,27.8,9.6,8,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,0,220,0.12,0,0,0.1,0.3,0.1,0,0.3,0.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,0.25,220,0.12,39200,1,0.2,0.6,0.3,0.6,0.5,1.3
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,0.5,220,0.12,26000,1,0.2,0.6,0.3,0.6,0.5,1.2
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,0.75,220,0.12,24700,8,0.4,18.5,0.3,5.7,18.5,0.9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,1010,0.12,88.5,10,4.3,28.1,27.8,9.6,4.7,49.2
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,1800,0.12,90.2,11,4.2,28.1,27.7,9.6,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,0,0.12,90.2,11,4.3,28.1,27.8,9.6,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,110,0.12,90.2,11,4.3,28.1,27.8,10.2,4.7,47.9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.56,89800,11,4.3,28.1,27.8,9.7,4.7,49.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,1,0,0,0.1,0.4,0.1,0,0.4,0.4
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.085,88.5,10,4.3,28.1,27.7,9.6,4.7,49.3
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.05,88.5,10,4.3,28.1,27.8,9.5,4.7,49.4
